id,model_id,name,start_year,end_year,facelift_year,platform,chassis_code
toyota_corolla_e120,toyota_corolla,E120,2000,2006.0,2004.0,Toyota MC platform,
toyota_corolla_e140_e150,toyota_corolla,E140/E150 (9th Gen),2006,2013.0,2010.0,Toyota MC platform,
toyota_corolla_e170_e180,toyota_corolla,E170/E180 (11th Gen),2012,2018.0,2016.0,Toyota MC platform,
toyota_corolla_e210,toyota_corolla,E210 (12th Gen),2018,2025.0,2022.0,Toyota New Global Architecture (TNGA-C),
toyota_camry_code_xv20,toyota_camry,XV20,1996,2001.0,1999.0,Toyota K platform,
toyota_camry_code_xv30,toyota_camry,XV30,2001,2006.0,2004.0,Toyota K platform,
toyota_camry_code_xv40,toyota_camry,XV40,2006,2011.0,2009.0,Toyota K platform,
toyota_camry_code_xv50,toyota_camry,XV50,2011,2017.0,2014.0,Toyota K platform,
toyota_camry_code_xv70,toyota_camry,XV70,2017,2025.0,2021.0,Toyota TNGA-K platform,
toyota_sienna_code_1,toyota_sienna,XL10,1997,2003.0,2000.0,Toyota MC platform,
toyota_sienna_code_2,toyota_sienna,XL20,2003,2010.0,2006.0,Toyota K platform,
toyota_sienna_code_3,toyota_sienna,XL30,2010,2020.0,2017.0,Toyota Q platform,
toyota_sienna_code_4,toyota_sienna,XL40,2020,2025.0,,Toyota TNGA-K platform,
toyota_highlander_1,toyota_highlander,XU20,2000,2007.0,2004.0,Toyota K platform,
toyota_highlander_2,toyota_highlander,XU40,2007,2013.0,2011.0,Toyota K platform,
toyota_highlander_3,toyota_highlander,XU50,2013,2019.0,2016.0,Toyota K platform,
toyota_highlander_4,toyota_highlander,XU70,2019,2025.0,2023.0,Toyota TNGA-K platform,
toyota_rav4_xa20,toyota_rav4,XA20,2000,2005.0,2003.0,Toyota MC Platform,
toyota_rav4_xa30,toyota_rav4,XA30,2005,2012.0,2008.0,Toyota MC Platform,
toyota_rav4_xa40,toyota_rav4,XA40,2012,2018.0,2015.0,Toyota MC Platform,
toyota_rav4_xa50,toyota_rav4,XA50,2018,2025.0,2022.0,Toyota New Global Architecture (TNGA-K),
toyota_tacoma_1st_gen,toyota_tacoma,N140/N150/N160/N170/N190,1995,2004.0,2001.0,Hilux derived,
toyota_tacoma_2nd_gen,toyota_tacoma,N200,2005,2015.0,2012.0,Toyota Truck Platform,
toyota_tacoma_3rd_gen,toyota_tacoma,N300,2016,2023.0,2020.0,Toyota New Global Architecture (TNGA-F),
toyota_tacoma_4th_gen,toyota_tacoma,N400,2024,2025.0,,Toyota New Global Architecture (TNGA-F),
