id,generation_id,name,engine_type,engine_code,displacement_cc,horsepower,torque_nm,transmission,drive_type,market
toyota_corolla_e120_1zz_fe,toyota_corolla_e120,1.8L (1ZZ-FE),gasoline,1ZZ-FE,1794.0,136,171.0,5MT/4AT,FWD,Global
toyota_corolla_e120_2zz_ge,toyota_corolla_e120,1.8L (2ZZ-GE) - Corolla XRS/Sport/RunX,gasoline,2ZZ-GE,1796.0,190,180.0,6MT/4AT,FWD,"North America, Japan, Australia"
toyota_corolla_e120_1zz_fe_flex,toyota_corolla_e120,1.8L Flex-Fuel (1ZZ-FE),gasoline,1ZZ-FE,1794.0,138,171.0,5MT/4AT,FWD,Brazil
toyota_corolla_e120_1nd_tv,toyota_corolla_e120,2.0L D-4D (1ND-TV),diesel,1ND-TV,1996.0,116,280.0,5MT,FWD,Europe
toyota_corolla_e120_1zz_fe_105hp,toyota_corolla_e120,1.8L (1ZZ-FE) Low Power,gasoline,1ZZ-FE,1794.0,105,155.0,5MT/4AT,FWD,"Europe, Asia"
toyota_corolla_e120_1zz_fe_110hp,toyota_corolla_e120,1.8L (1ZZ-FE) Standard Power,gasoline,1ZZ-FE,1794.0,110,160.0,5MT/4AT,FWD,Global
toyota_corolla_e120_1zz_fe_132hp,toyota_corolla_e120,1.8L (1ZZ-FE) High Power,gasoline,1ZZ-FE,1794.0,132,170.0,5MT/4AT,FWD,Japan (Corolla Axio/Fielder)
toyota_corolla_e120_1zz_fe_136hp_jdm,toyota_corolla_e120,1.8L (1ZZ-FE) 136 PS,gasoline,1ZZ-FE,1794.0,136,171.0,5MT/4AT,FWD,Japan
toyota_corolla_e120_1zz_fe_140hp_jdm,toyota_corolla_e120,1.8L (1ZZ-FE) 140 PS (VVTL-i),gasoline,1ZZ-FE,1794.0,140,175.0,5MT/4AT,FWD,Japan
toyota_corolla_e120_1zz_fe_190hp_jdm,toyota_corolla_e120,1.8L (1ZZ-FE) 190 PS (VVTL-i) - RunX/Allex,gasoline,1ZZ-FE,1794.0,190,180.0,6MT,FWD,Japan
toyota_corolla_e120_4zz_fe,toyota_corolla_e120,1.6L (4ZZ-FE),gasoline,4ZZ-FE,1598.0,110,154.0,5MT/4AT,FWD,Global (especially Asia/Europe)
toyota_corolla_e120_3zz_fe,toyota_corolla_e120,1.6L (3ZZ-FE),gasoline,3ZZ-FE,1598.0,116,155.0,5MT/4AT,FWD,Global (Europe/Asia)
toyota_corolla_e120_1nd_tv_116hp,toyota_corolla_e120,2.0L D-4D (1ND-TV) 116 PS,diesel,1ND-TV,1996.0,116,280.0,5MT,FWD,Europe
toyota_corolla_e120_1cd_ftv,toyota_corolla_e120,2.2L D-4D (1CD-FTV),diesel,1CD-FTV,2231.0,136,310.0,5MT/6MT,FWD,Europe
toyota_corolla_e120_1zz_fe_hybrid,toyota_corolla_e120,1.8L Hybrid (1ZZ-FXE),hybrid,1ZZ-FXE,1794.0,110,140.0,CVT (e-CVT),FWD,Japan (Corolla Axio Hybrid)
toyota_corolla_e140_e150_1.3_2SZ-FE,toyota_corolla_e140_e150,1.3L (2SZ-FE),gasoline,2SZ-FE,1298.0,87,121.0,manual,FWD,Select Markets
toyota_corolla_e140_e150_1.4_4ZZ-FE,toyota_corolla_e140_e150,1.4L (4ZZ-FE),gasoline,4ZZ-FE,1398.0,97,130.0,manual|auto,FWD,Global
toyota_corolla_e140_e150_1.6_1ZR-FE,toyota_corolla_e140_e150,1.6L (1ZR-FE),gasoline,1ZR-FE,1598.0,124,157.0,manual|auto,FWD,Global
toyota_corolla_e140_e150_1.8_2ZR-FE,toyota_corolla_e140_e150,1.8L (2ZR-FE),gasoline,2ZR-FE,1798.0,132,178.0,manual|auto,FWD,Global
toyota_corolla_e140_e150_1.8_2ZR-FXE,toyota_corolla_e140_e150,1.8L Hybrid (2ZR-FXE),hybrid,2ZR-FXE,1798.0,134,142.0,e-CVT,FWD,"Select Markets (e.g., Japan, North America)"
toyota_corolla_e140_e150_2.0_3ZR-FE,toyota_corolla_e140_e150,2.0L (3ZR-FE),gasoline,3ZR-FE,1998.0,147,196.0,manual|auto,FWD,"Select Markets (e.g., China, Taiwan)"
toyota_corolla_e140_e150_1.4D_1ND-TV,toyota_corolla_e140_e150,1.4L Diesel (1ND-TV),diesel,1ND-TV,1364.0,90,205.0,manual,FWD,Europe
toyota_corolla_e140_e150_2.0D_1AD-FTV,toyota_corolla_e140_e150,2.0L Diesel (1AD-FTV),diesel,1AD-FTV,1968.0,126,300.0,manual|auto,FWD,Europe
toyota_corolla_e170_e180_1zr_fe,toyota_corolla_e170_e180,1.6L (1ZR-FE),gasoline,1ZR-FE,1598.0,132,160.0,CVT|Manual,FWD,Global
toyota_corolla_e170_e180_2zr_fe,toyota_corolla_e170_e180,1.8L (2ZR-FE),gasoline,2ZR-FE,1798.0,140,171.0,CVT|Manual,FWD,Global
toyota_corolla_e170_e180_2zr_fx_e,toyota_corolla_e170_e180,1.8L Hybrid (2ZR-FXE),hybrid,2ZR-FXE,1798.0,134,142.0,eCVT,FWD,Global
toyota_corolla_e170_e180_1nr_fe,toyota_corolla_e170_e180,1.3L (1NR-FE),gasoline,1NR-FE,1329.0,99,128.0,CVT|Manual,FWD,Select Markets
toyota_corolla_e170_e180_1ad_ftv,toyota_corolla_e170_e180,1.6L Diesel (1AD-FTV),diesel,1AD-FTV,1960.0,112,270.0,Manual,FWD,Europe
toyota_corolla_e170_e180_2ad_ftv,toyota_corolla_e170_e180,2.0L Diesel (2AD-FTV),diesel,2AD-FTV,1960.0,124,310.0,Manual,FWD,Europe
toyota_corolla_e170_e180_4zr_fe,toyota_corolla_e170_e180,1.6L (4ZR-FE),gasoline,4ZR-FE,1598.0,122,154.0,CVT|Manual,FWD,China/Asia
toyota_corolla_e170_e180_7zr_fe,toyota_corolla_e170_e180,1.2L Turbo (7ZR-FE),gasoline,7ZR-FE,1197.0,116,185.0,CVT,FWD,Select Markets (Facelift)
toyota_corolla_e210_m20a-fks,toyota_corolla_e210,M20A-FKS (Dynamic Force),gasoline,M20A-FKS,1986.0,171,205.0,CVT,FWD,Global
toyota_corolla_e210_m20a-fxa,toyota_corolla_e210,M20A-FXA (Dynamic Force Hybrid),hybrid,M20A-FXA,1986.0,152,190.0,eCVT,FWD,Global
toyota_corolla_e210_m15a-fks,toyota_corolla_e210,M15A-FKS (Dynamic Force),gasoline,M15A-FKS,1490.0,121,148.0,CVT,FWD,Global
toyota_corolla_e210_m15a-fxa,toyota_corolla_e210,M15A-FXA (Dynamic Force Hybrid),hybrid,M15A-FXA,1490.0,114,145.0,eCVT,FWD,Global
